2023-06-13 17:29:38,198 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('tek') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,198 | INFO | 
2023-06-13 17:29:38,198 | INFO | Requête 1 tag : INSERT INTO public.tags(tag_name) VALUES ('skone') ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,199 | INFO | 
2023-06-13 17:29:38,199 | INFO | Requête 1 track : INSERT INTO public.tracks(title,artists_id,datep,num_likes,num_comments,num_streams,maintag) VALUES ('Zeno - Fractium [Hardtek / Outre-acid]',(SELECT artists_id FROM public.artists WHERE artist_name = 'zeno'),'2023-05-13 18:32:05Z','15','7','157',(SELECT tags_id FROM public.tags WHERE tag_name = 'tekno')) ON CONFLICT (title) DO UPDATE SET num_likes = '15', num_comments = '7', num_streams = '157' WHERE tracks.title = 'Zeno - Fractium [Hardtek / Outre-acid]';
2023-06-13 17:29:38,199 | INFO | 
2023-06-13 17:29:38,204 | INFO | Requête 1 tracks_artists : INSERT INTO public.tracks_artists(tracks_id,artists_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT artists_id FROM artists WHERE artist_name = 'zeno')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,206 | INFO | 
2023-06-13 17:29:38,206 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'hardmusic')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,206 | INFO | 
2023-06-13 17:29:38,207 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'hardtechno')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,208 | INFO | 
2023-06-13 17:29:38,209 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'techno')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,209 | INFO | 
2023-06-13 17:29:38,211 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'hardtechnomusic')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,213 | INFO | 
2023-06-13 17:29:38,215 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'hardtek')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,215 | INFO | 
2023-06-13 17:29:38,217 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'freeparty')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,218 | INFO | 
2023-06-13 17:29:38,219 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'warhouse')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,220 | INFO | 
2023-06-13 17:29:38,225 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'hardtekk')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,228 | INFO | 
2023-06-13 17:29:38,233 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'son2teuf')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,235 | INFO | 
2023-06-13 17:29:38,240 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'teknival')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,243 | INFO | 
2023-06-13 17:29:38,246 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'freetekno')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,246 | INFO | 
2023-06-13 17:29:38,247 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'tekno')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,248 | INFO | 
2023-06-13 17:29:38,249 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'acid')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,249 | INFO | 
2023-06-13 17:29:38,250 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'tribecore')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,250 | INFO | 
2023-06-13 17:29:38,265 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'tribe')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,266 | INFO | 
2023-06-13 17:29:38,267 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'tribal')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,268 | INFO | 
2023-06-13 17:29:38,274 | INFO | Requête 1 tracks_tags : INSERT INTO public.tracks_tags(tracks_id,tags_id) VALUES ((SELECT tracks_id FROM tracks WHERE title = 'Zeno - Fractium [Hardtek / Outre-acid]'),(SELECT tags_id FROM tags WHERE tag_name = 'teknik')) ON CONFLICT DO NOTHING;
2023-06-13 17:29:38,277 | INFO | 
